,_id,animalSettlement,animalType,isPregmant,weight
90,63ed0ae9a9f1a40025793c1d,1a40025792,SIN ESPECIFICAR,,
91,63ed0b15a9f1a40025793c52,1a40025792,SIN ESPECIFICAR,,
92,63ed0b7aa9f1a40025793c82,1a40025792,SIN ESPECIFICAR,,
93,63ed0b8da9f1a40025793ce6,1a40025792,SIN ESPECIFICAR,,
94,63ed0b93a9f1a40025793d0f,1a40025792,SIN ESPECIFICAR,,
95,63ed0baea9f1a40025793d80,1a40025792,SIN ESPECIFICAR,,
96,63ed0da5a9f1a4002579438c,1a40025792,SIN ESPECIFICAR,,
97,63ed0da6a9f1a40025794397,1a40025792,SIN ESPECIFICAR,,
98,63ed0dc6a9f1a40025794427,1a40025792,SIN ESPECIFICAR,,
99,63ed0dc9a9f1a40025794444,1a40025792,SIN ESPECIFICAR,,
100,63ed0ddca9f1a400257944c0,1a40025792,SIN ESPECIFICAR,False,
101,63ed0deda9f1a40025794525,1a40025792,SIN ESPECIFICAR,,
102,63ed0df3a9f1a40025794534,1a40025792,SIN ESPECIFICAR,,
103,63ed0e08a9f1a4002579459a,1a40025792,SIN ESPECIFICAR,,
104,63ed0e0fa9f1a400257945cf,1a40025792,SIN ESPECIFICAR,,
105,63ed0e1ca9f1a4002579461c,1a40025792,SIN ESPECIFICAR,,
106,63ed0e26a9f1a4002579466e,1a40025792,SIN ESPECIFICAR,,
107,63ed0e2da9f1a400257946b4,1a40025792,SIN ESPECIFICAR,False,
108,63ed0e3da9f1a40025794702,1a40025792,SIN ESPECIFICAR,,
109,63ed0e4ea9f1a40025794766,1a40025792,SIN ESPECIFICAR,,
110,63ed0e50a9f1a40025794775,1a40025792,SIN ESPECIFICAR,,
111,63ed0e61a9f1a400257947ff,1a40025792,SIN ESPECIFICAR,,
112,63ed0e62a9f1a4002579480a,1a40025792,SIN ESPECIFICAR,,
113,63ed0e71a9f1a40025794898,1a40025792,SIN ESPECIFICAR,False,
114,63ed0e73a9f1a400257948a6,1a40025792,SIN ESPECIFICAR,False,
115,63ed0e82a9f1a40025794931,1a40025792,SIN ESPECIFICAR,,
116,63ed0e85a9f1a4002579494b,1a40025792,SIN ESPECIFICAR,,
117,63ed0e90a9f1a400257949d1,1a40025792,SIN ESPECIFICAR,,
118,63ed0ea0a9f1a40025794a4e,1a40025792,SIN ESPECIFICAR,,
119,63ed0eb1a9f1a40025794abd,1a40025792,SIN ESPECIFICAR,,
120,63ed0eb2a9f1a40025794ac8,1a40025792,SIN ESPECIFICAR,,
121,63ed0ec7a9f1a40025794b57,1a40025792,SIN ESPECIFICAR,,
122,63ed0ec9a9f1a40025794b62,1a40025792,SIN ESPECIFICAR,,
123,63ed0ed9a9f1a40025794bf3,1a40025792,SIN ESPECIFICAR,,
124,63ed0edba9f1a40025794c04,1a40025792,SIN ESPECIFICAR,,
125,63ed0eeaa9f1a40025794c77,1a40025792,SIN ESPECIFICAR,,
126,63ed0eeba9f1a40025794c82,1a40025792,SIN ESPECIFICAR,False,
127,63ed0efba9f1a40025794d03,1a40025792,SIN ESPECIFICAR,,
128,63ed0efca9f1a40025794d0e,1a40025792,SIN ESPECIFICAR,False,
129,63ed0f0ca9f1a40025794d9c,1a40025792,SIN ESPECIFICAR,False,
130,63ed0f0da9f1a40025794da6,1a40025792,SIN ESPECIFICAR,False,
131,63ed0f1ca9f1a40025794e36,1a40025792,SIN ESPECIFICAR,,
132,63ed0f1ea9f1a40025794e41,1a40025792,SIN ESPECIFICAR,,
133,63ed0f2ba9f1a40025794ea4,1a40025792,SIN ESPECIFICAR,False,
134,63ed0f3ba9f1a40025794f09,1a40025792,SIN ESPECIFICAR,,
135,63ed0f3ba9f1a40025794f0e,1a40025792,SIN ESPECIFICAR,,
136,63ed0f4ca9f1a40025794fa1,1a40025792,SIN ESPECIFICAR,,
137,63ed0f4ea9f1a40025794fb0,1a40025792,SIN ESPECIFICAR,,
138,63ed0f5ea9f1a40025795020,1a40025792,SIN ESPECIFICAR,,
139,63ed0f6ea9f1a40025795087,1a40025792,SIN ESPECIFICAR,,
140,63ed0f6ea9f1a40025795089,1a40025792,SIN ESPECIFICAR,,
141,63ed0f7da9f1a400257950f5,1a40025792,SIN ESPECIFICAR,,
142,63ed0f86a9f1a4002579513e,1a40025792,SIN ESPECIFICAR,,
143,63ed0f93a9f1a400257951a9,1a40025792,SIN ESPECIFICAR,,
144,63ed0f98a9f1a400257951cb,1a40025792,SIN ESPECIFICAR,,
145,63ed0fa8a9f1a40025795244,1a40025792,SIN ESPECIFICAR,,
146,63ed0fa8a9f1a40025795246,1a40025792,SIN ESPECIFICAR,,
147,63ed0fb9a9f1a400257952d9,1a40025792,SIN ESPECIFICAR,,
148,63ed0fbca9f1a400257952ea,1a40025792,SIN ESPECIFICAR,,
149,63ed0fcca9f1a40025795386,1a40025792,SIN ESPECIFICAR,,
150,63ed0fd9a9f1a400257953d6,1a40025792,SIN ESPECIFICAR,,
151,63ed0fdea9f1a40025795404,1a40025792,SIN ESPECIFICAR,,
152,63ed0feca9f1a4002579546f,1a40025792,SIN ESPECIFICAR,,
153,63ed0feea9f1a4002579547e,1a40025792,SIN ESPECIFICAR,,
154,63ed1001a9f1a400257954c8,1a40025792,SIN ESPECIFICAR,,
155,63ed1012a9f1a40025795513,1a40025792,SIN ESPECIFICAR,,
156,63ed101fa9f1a40025795575,1a40025792,SIN ESPECIFICAR,,
157,63ed1026a9f1a40025795595,1a40025792,SIN ESPECIFICAR,,
158,63ed1031a9f1a400257955ee,1a40025792,SIN ESPECIFICAR,,
159,63ed1039a9f1a40025795629,1a40025792,SIN ESPECIFICAR,,
160,63ed1042a9f1a40025795670,1a40025792,SIN ESPECIFICAR,,
161,63ed104aa9f1a400257956b1,1a40025792,SIN ESPECIFICAR,,
162,63ed1054a9f1a40025795708,1a40025792,SIN ESPECIFICAR,,
163,63ed105ea9f1a4002579575a,1a40025792,SIN ESPECIFICAR,,
164,63ed1065a9f1a4002579578f,1a40025792,SIN ESPECIFICAR,,
165,63ed1070a9f1a400257957ec,1a40025792,SIN ESPECIFICAR,,
166,63ed1073a9f1a4002579580a,1a40025792,VACA,False,
167,63ed1084a9f1a40025795885,1a40025792,SIN ESPECIFICAR,,
168,63ed1084a9f1a40025795890,1a40025792,SIN ESPECIFICAR,,
169,63ed10b5a9f1a4002579592b,1a40025792,SIN ESPECIFICAR,,
170,63ed10c5a9f1a40025795977,1a40025792,SIN ESPECIFICAR,,
171,63ed10d5a9f1a400257959c5,1a40025792,SIN ESPECIFICAR,,
172,63ed3c21a9f1a400257969b9,1a40025792,VACA,False,0.0
173,63ed3c48a9f1a400257969d6,1a40025792,VACA,False,0.0
174,63ed3c7ca9f1a40025796a47,1a40025792,VACA,False,0.0
175,63ed43f6a9f1a40025796d50,1a40025792,VACA,False,0.0
176,63ed4404a9f1a40025796d71,1a40025792,VACA,False,0.0
177,63ed440da9f1a40025796d85,1a40025792,VACA,False,0.0
178,63ee52afa9f1a40025797d8c,1a40025792,SIN ESPECIFICAR,,
179,63ed0c40a9f1a40025794099,1a40025792,SIN ESPECIFICAR,,
180,63ed0beca9f1a40025793edd,1a40025792,SIN ESPECIFICAR,,
181,63ed0bb3a9f1a40025793db5,1a40025792,SIN ESPECIFICAR,,
182,63ed0c5ba9f1a40025794154,1a40025792,SIN ESPECIFICAR,,
183,63ed0c42a9f1a400257940a4,1a40025792,SIN ESPECIFICAR,False,
184,63ed0c02a9f1a40025793f4e,1a40025792,SIN ESPECIFICAR,,
185,63ed0be7a9f1a40025793eb4,1a40025792,SIN ESPECIFICAR,,
186,63ed0bcba9f1a40025793e1a,1a40025792,SIN ESPECIFICAR,,
187,63ed0c15a9f1a40025793fb2,1a40025792,NOVILLO,False,300.0
188,63ed0c69a9f1a400257941b3,1a40025792,SIN ESPECIFICAR,,
189,63ed0bcda9f1a40025793e28,1a40025792,SIN ESPECIFICAR,,
190,63ed0c23a9f1a40025793fe9,1a40025792,SIN ESPECIFICAR,,
191,63ed0c58a9f1a40025794132,1a40025792,SIN ESPECIFICAR,,
192,63ed0d7ca9f1a400257942d7,1a40025792,SIN ESPECIFICAR,False,
193,63ed0c2ca9f1a40025794036,1a40025792,SIN ESPECIFICAR,,
194,63ed0ca3a9f1a4002579421a,1a40025792,SIN ESPECIFICAR,,
195,63ed0d70a9f1a40025794283,1a40025792,SIN ESPECIFICAR,,
215,640f68914124f63a68aef494,1a40025792,SIN ESPECIFICAR,,
216,640f6ef10c8f4c1edc6767e4,1a40025792,SIN ESPECIFICAR,,
217,640f6ef10c8f4c1edc6767e9,1a40025792,SIN ESPECIFICAR,,
218,640f6ef10c8f4c1edc6767e5,1a40025792,SIN ESPECIFICAR,,
219,640f6ef10c8f4c1edc6767ee,1a40025792,SIN ESPECIFICAR,,
220,640f6ef10c8f4c1edc6767ec,1a40025792,SIN ESPECIFICAR,,
221,640f6ef10c8f4c1edc6767e6,1a40025792,SIN ESPECIFICAR,,
222,640f6ef10c8f4c1edc6767f3,1a40025792,SIN ESPECIFICAR,,
223,640f6ef10c8f4c1edc6767f1,1a40025792,SIN ESPECIFICAR,,
224,640f6ef10c8f4c1edc6767ea,1a40025792,SIN ESPECIFICAR,,
225,640f6ef10c8f4c1edc6767f8,1a40025792,SIN ESPECIFICAR,,
226,640f6ef10c8f4c1edc6767f6,1a40025792,SIN ESPECIFICAR,,
227,640f6ef10c8f4c1edc6767e7,1a40025792,SIN ESPECIFICAR,,
228,640f6ef10c8f4c1edc6767fd,1a40025792,SIN ESPECIFICAR,,
229,640f6ef10c8f4c1edc6767ef,1a40025792,SIN ESPECIFICAR,,
230,640f6ef10c8f4c1edc6767eb,1a40025792,SIN ESPECIFICAR,,
231,640f6ef10c8f4c1edc6767fb,1a40025792,SIN ESPECIFICAR,,
232,640f6ef10c8f4c1edc676802,1a40025792,SIN ESPECIFICAR,,
233,640f6ef10c8f4c1edc6767e8,1a40025792,SIN ESPECIFICAR,,
234,640f6ef10c8f4c1edc6767f4,1a40025792,SIN ESPECIFICAR,,
235,640f6ef10c8f4c1edc6767f0,1a40025792,SIN ESPECIFICAR,,
236,640f6ef10c8f4c1edc676800,1a40025792,SIN ESPECIFICAR,,
