,_id,animalSettlement,animalType,isPregmant,weight,birthDay,breed,createdAt
0,62d6e9920408c608acb6fdd0,43d0026a01,VACA,False,500.0,2022-07-18 00:00:00.000,SIMBRAH,2022-07-19 17:27:46.820
1,62d6e9d30408c608acb6fe08,43d0026a01,NOVILLO,False,234.0,2022-07-18 00:00:00.000,SIMBRAH,2022-07-19 17:28:51.345
2,62d98db9a30a66002645c287,43d0026a01,VACA,False,155.0,2022-07-18 00:00:00.000,BRANGUS,2022-07-21 17:32:41.363
3,62d99045a30a66002645c384,43d0026a01,TERNERO,False,73.0,2022-07-18 00:00:00.000,INDUSIN,2022-07-21 17:43:33.443
4,62d9a88c0223ce002612afed,43d0026a01,TERNERO,False,45.0,2022-03-25 00:00:00.000,BRAFORD,2022-07-21 19:27:08.791
5,62d9a8ee0223ce002612b023,43d0026a01,NOVILLO,False,129.0,2022-03-25 00:00:00.000,BRAFORD,2022-07-21 19:28:46.345
6,62d9aa800223ce002612b336,43d0026a01,NOVILLO,False,55.0,2022-03-25 00:00:00.000,HEREFORD,2022-07-21 19:35:28.945
7,62d9ac5d0223ce002612b400,43d0026a01,VACA,False,155.0,2022-07-18 00:00:00.000,CHARBRAY,2022-07-21 19:43:25.703
8,62d9acb50223ce002612b438,43d0026a01,TERNERO,False,48.0,2022-03-25 00:00:00.000,POLLED HEREFORD,2022-07-21 19:44:53.252
9,62d9ad220223ce002612b474,43d0026a01,TERNERO,False,66.0,2022-07-18 00:00:00.000,ABERDEEN ANGUS,2022-07-21 19:46:42.277
10,62d9ae270223ce002612b57e,43d0026a01,NOVILLO,False,155.0,2022-07-18 00:00:00.000,PIAMONTESA,2022-07-21 19:51:03.780
11,62de77333c3f510026f2564a,43d0026a01,NOVILLO,False,167.0,2022-03-25 00:00:00.000,RETINTA,2022-07-25 10:57:55.573
12,62d6ea330408c608acb6fe4e,43d0026a01,NOVILLO,False,231.0,2022-08-26 00:00:00.000,INDUSIN,2022-07-19 17:30:27.339
13,62d98f17a30a66002645c2ff,43d0026a01,NOVILLO,False,166.0,2022-07-18 00:00:00.000,LIMOUSIN,2022-07-21 17:38:31.059
14,62d990a8a30a66002645c3c1,43d0026a01,NOVILLO,False,148.0,2022-07-18 00:00:00.000,POLLED HEREFORD,2022-07-21 17:45:12.334
15,62d9948ba30a66002645c480,43d0026a01,VACA,False,153.0,2022-07-18 00:00:00.000,BRANGUS,2022-07-21 18:01:47.052
16,62d99512a30a66002645c4db,43d0026a01,TERNERO,False,65.0,2022-07-18 00:00:00.000,INDUSIN,2022-07-21 18:04:02.069
17,62d9a9400223ce002612b065,43d0026a01,VAQUILLONA,False,166.0,2022-03-25 00:00:00.000,JERSEY,2022-07-21 19:30:08.457
18,62d9ab7e0223ce002612b37e,43d0026a01,NOVILLO,False,146.0,2022-07-18 00:00:00.000,RETINTA,2022-07-21 19:39:42.966
19,62dac69ae95cd50025ecf5f8,43d0026a01,TERNERO,False,54.0,2022-07-18 00:00:00.000,SANTA GERTRUDIS,2022-07-22 15:47:38.719
20,62f52ca5401c510025e01f48,43d0026a01,NOVILLO,False,251.0,2022-08-11 00:00:00.000,ABERDEEN ANGUS,2022-08-11 16:21:57.193
21,63093bb93b49db0025994d31,43d0026a01,TERNERO,False,123.0,2022-08-26 00:00:00.000,HEREFORD,2022-08-26 21:31:37.126
22,62d56ca4e71f68426833cc59,43d0026a01,NOVILLO,False,2.0,2022-07-18 00:00:00.000,POLLED HEREFORD,2022-07-18 14:22:28.938
